Name,Year,Director,Screenplay,Budget,Revenue,"Genre 1","Genre 2","Genre 3",Duration,Animation_Genre,Fantasy_Genre,Drama_Genre,Family_Genre,Adventure_Genre,Romance_Genre,Comedy_Genre,War_Genre
"When Marnie Was There
       ",2014,"Hiromasa Yonebayashi","Joan Robinson",115000000000,3494956700,Animation,Drama,,"1h 43m",Animation,n/a,Drama,n/a,n/a,n/a,n/a,n/a
"The Tale of The Princess Kaguya
       ",2013,"Isao Takahata","Riko Sakaguchi",4930000000,2436665600,Animation,Drama,Fantasy,"2h 17m",Animation,Fantasy,Drama,n/a,n/a,n/a,n/a,n/a
"The Wind Rises
       ",2013,"Hayao Miyazaki","Tatsuo Hori",3000000000,11793240100,Drama,Animation,Romance,"2h 6m",Animation,n/a,Drama,n/a,n/a,Romance,n/a,n/a
"From Up on Poppy Hill
       ",2011,"Goro Miyazaki","Hayao Miyazaki",2200000000,6103784400,Animation,Drama,,"1h 31m",Animation,n/a,Drama,n/a,n/a,n/a,n/a,n/a
"The Secret World of Arrietty
       ",2010,"Hiromasa Yonebayashi","Mary Norton",2300000000,14948048300,Fantasy,Animation,Family,"1h 34m",Animation,Fantasy,n/a,Family,n/a,n/a,n/a,n/a
"Ponyo
       ",2008,"Hayao Miyazaki",,3400000000,20240400900,Animation,Fantasy,Family,"1h 40m",Animation,Fantasy,n/a,Family,n/a,n/a,n/a,n/a
"Ocean Waves
       ",1994,"Tomomi Mochizuki","Saeko Himuro",500000000,10000000,Animation,Drama,Romance,"1h 12m",Animation,n/a,Drama,n/a,n/a,Romance,n/a,n/a
"Tales from Earthsea
       ",2006,"Goro Miyazaki","Ursula Le Guin",2200000000,6862510400,Animation,Fantasy,Adventure,"1h 55m",Animation,Fantasy,n/a,n/a,Adventure,n/a,n/a,n/a
"Only Yesterday
       ",1991,"Isao Takahata",,250000000,47311000,Animation,Drama,Romance,"1h 59m",Animation,n/a,Drama,n/a,n/a,Romance,n/a,n/a
"Spirited Away
       ",2001,"Hayao Miyazaki",,1900000000,27492509500,Animation,Family,Fantasy,"2h 5m",Animation,Fantasy,n/a,Family,n/a,n/a,n/a,n/a
"My Neighbors the Yamadas
       ",1999,"Isao Takahata",,2050000000,16700000000,Animation,Family,,"1h 44m",Animation,n/a,n/a,Family,n/a,n/a,n/a,n/a
"Whisper of the Heart
       ",1995,"Yoshifumi Kondo","Hayao Miyazaki",700000000,3490000000,Animation,Drama,Family,"1h 51m",Animation,n/a,Drama,Family,n/a,n/a,n/a,n/a
"Grave of the Fireflies
       ",1988,"Isao Takahata","Akiyuki Nosaka",370000000,51696200,Animation,Drama,War,"1h 29m",Animation,n/a,Drama,n/a,n/a,n/a,n/a,War
"My Neighbor Totoro
       ",1988,"Hayao Miyazaki",,370000000,4100000000,Fantasy,Animation,Family,"1h 26m",Animation,Fantasy,n/a,Family,n/a,n/a,n/a,n/a
"Princess Mononoke
       ",1997,"Hayao Miyazaki",,2350000000,16900000000,Adventure,Fantasy,Animation,"2h 14m",Animation,Fantasy,n/a,n/a,Adventure,n/a,n/a,n/a
"Howl's Moving Castle
       ",2004,"Hayao Miyazaki","Diana Wynne Jones",2400000000,23604975700,Fantasy,Animation,Adventure,"1h 59m",Animation,Fantasy,n/a,n/a,Adventure,n/a,n/a,n/a
"Castle in the Sky
       ",1986,"Hayao Miyazaki",,300000000,522875200,Adventure,Fantasy,Animation,"2h 5m",Animation,Fantasy,n/a,n/a,Adventure,n/a,n/a,n/a
"Kiki's Delivery Service
       ",1989,"Hayao Miyazaki","Eiko Kadono",690000000,449301700,Animation,Family,Fantasy,"1h 43m",Animation,Fantasy,n/a,Family,n/a,n/a,n/a,n/a
"Pom Poko",1994,"Isao Takahata",,1200000000,447000000000,Adventure,Animation,Fantasy,"1h 59m",Animation,Fantasy,n/a,n/a,Adventure,n/a,n/a,n/a
"Porco Rosso",1992,"Hayao Miyazaki",,920000000,3410000000,Family,Comedy,Animation,"1h 33m",Animation,n/a,n/a,Family,n/a,n/a,Comedy,n/a
"The Cat Returns",2002,"Hiroyuki Morita","Reiko Yoshida",2000000000,5401637000,Adventure,Fantasy,Animation,"1h 15m",Animation,Fantasy,n/a,n/a,Adventure,n/a,n/a,n/a
"Nausicaä of the Valley of the Wind",1984,"Hayao Miyazaki","Kazunori Ito",100000000,330144600,Adventure,Animation,Fantasy,"1h 57m",Animation,Fantasy,n/a,n/a,Adventure,n/a,n/a,n/a
"The Boy and the Heron",2023,"Hayao Miyazaki","Hayao Miyazaki",10000000000,16700000000,Fantasy,Adventure,,"2h 4m",n/a,Fantasy,n/a,n/a,Adventure,n/a,n/a,n/a
